dataset,target,values,seed,m_error_no_stats,p_error_no_stats,f_error_no_stats,m_error_with_stats,p_error_with_stats,f_error_with_stats,m_actual,m_estimate_no_stats,m_estimate_with_stats,p_actual,p_estimate_no_stats,p_estimate_with_stats,f_actual,f_estimate_no_stats,f_estimate_with_stats
random,100,10,420,0.56742200000000000000,0.56633300000000000000,0.56802200000000000000,0.56388900000000000000,0.56601600000000000000,0.57105500000000000000,1000000,567422,563889,1000000,566333,566016,1000000,568022,571055
random,100,10,451,111111.000000000000,111111.000000000000,111111.000000000000,111111.000000000000,111111.000000000000,111111.000000000000,0,111111,111111,0,111111,111111,0,111111,111111
random,100,10,557,0.55997215651009414845,0.55910710154167866182,0.56088908400838384411,0.55932377067281955970,0.57015441512819652385,0.56626706508808701071,566021,316956,316589,566201,316567,322822,564896,316844,319882
random,100,10,765,1.0569678543999031,1.0586547331394774,1.0581953692566371,1.0569678543999031,1.0638862910201697,1.0601607391832867,313791,331667,331667,313291,331667,333306,313427,331667,332283
random,100,10,1521,0.05719711268975142135,0.05683562001977879577,0.05713698019632266395,0.05719711268975142135,0.12503836404351335069,0.09104206424482053275,87417,5000,5000,87973,5000,11000,87509,5000,7967
random,100,10,2922,1.1245003586405588,1.1217234483251196,1.1246258147312632,1.1223187525856347,1.1275712449110778,1.1242228173827181,671982,755644,754178,672048,753852,757782,672461,756267,755996
random,100,10,3174,1.1956896288064921,1.1966228797347277,1.1972173404130436,1.1956896288064921,1.2006223695957148,1.2005502030511260,588534,703704,703704,588075,703704,706056,587783,703704,705663
random,100,10,3688,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,37037.000000000000,0,37037,37037,0,37037,37037,0,37037,37037
random,100,10,4237,556.0000000000000000,556.0000000000000000,556.0000000000000000,556.0000000000000000,556.0000000000000000,556.0000000000000000,0,556,556,0,556,556,0,556,556
random,100,10,4327,556.0000000000000000,556.0000000000000000,556.0000000000000000,556.0000000000000000,556.0000000000000000,556.0000000000000000,0,556,556,0,556,556,0,556,556
random,100,10,4604,0.42146900000000000000,0.42214200000000000000,0.42219200000000000000,0.42126800000000000000,0.42283000000000000000,0.42654500000000000000,1000000,421469,421268,1000000,422142,422830,1000000,422192,426545
random,100,10,5216,0.74036800000000000000,0.74100600000000000000,0.73799000000000000000,0.74282000000000000000,0.73700900000000000000,0.74262700000000000000,1000000,740368,742820,1000000,741006,737009,1000000,737990,742627
random,100,10,5322,0.57828100000000000000,0.57740700000000000000,0.57819300000000000000,0.57654800000000000000,0.57728200000000000000,0.58307200000000000000,1000000,578281,576548,1000000,577407,577282,1000000,578193,583072
random,100,10,6035,995556.000000000000,995556.000000000000,995556.000000000000,995556.000000000000,995556.000000000000,856322.000000000000,0,995556,995556,0,995556,995556,0,995556,856322
random,100,10,6137,995556.000000000000,995556.000000000000,995556.000000000000,995556.000000000000,995556.000000000000,856322.000000000000,0,995556,995556,0,995556,995556,0,995556,856322
random,100,10,6554,333333.000000000000,333333.000000000000,333333.000000000000,333333.000000000000,333333.000000000000,333333.000000000000,0,333333,333333,0,333333,333333,0,333333,333333
random,100,10,6963,0.90046800000000000000,0.90046700000000000000,0.90107700000000000000,0.89878300000000000000,0.75777900000000000000,0.89951400000000000000,1000000,900468,898783,1000000,900467,757779,1000000,901077,899514
random,100,10,7314,1.4122749715153817,1.4098618392117808,1.4107069240671845,1.4122749715153817,1.6528514303913292,1.6413405532273280,394950,557778,557778,395626,557778,653911,395389,557778,648968
random,100,10,7382,0.11555600000000000000,0.11555600000000000000,0.11555600000000000000,0.11555600000000000000,0.10018300000000000000,0.23822700000000000000,1000000,115556,115556,1000000,115556,100183,1000000,115556,238227
random,100,10,7530,0.49917800000000000000,0.49993300000000000000,0.50082200000000000000,0.49804400000000000000,0.49947600000000000000,0.50384400000000000000,1000000,499178,498044,1000000,499933,499476,1000000,500822,503844
random,100,10,7868,0.40740700000000000000,0.40740700000000000000,0.40740700000000000000,0.40740700000000000000,0.40740700000000000000,0.41263900000000000000,1000000,407407,407407,1000000,407407,407407,1000000,407407,412639
random,100,10,8097,0.54427300000000000000,0.54361300000000000000,0.54454700000000000000,0.54345200000000000000,0.54308800000000000000,0.54872300000000000000,1000000,544273,543452,1000000,543613,543088,1000000,544547,548723
random,100,10,8200,0.73580670715606020597,0.74916313322918991297,0.75855257250606087815,0.72599243024381656544,0.73773711225172952466,0.75006734309059890455,22722,16719,16496,22405,16785,16529,22274,16896,16707
random,100,10,8505,1.0583558804818146,1.0571173623441824,1.0608448419595895,1.0583558804818146,1.0674871785627372,1.0668342019136405,664903,703704,703704,665682,703704,710607,663343,703704,707677
random,100,10,8866,75598.000000000000,73829.000000000000,74006.000000000000,72138.000000000000,73685.000000000000,74382.000000000000,0,75598,72138,0,73829,73685,0,74006,74382
random,100,10,9311,0.03620500000000000000,0.03731700000000000000,0.03605100000000000000,0.03501000000000000000,0.03697600000000000000,0.17374900000000000000,1000000,36205,35010,1000000,37317,36976,1000000,36051,173749
random,100,10,9378,0.85017600000000000000,0.85271700000000000000,0.85403700000000000000,0.85152900000000000000,0.72716700000000000000,0.86673300000000000000,1000000,850176,851529,1000000,852717,727167,1000000,854037,866733
random,100,10,9466,1.00093939798257232334,1.00112895459455238740,0.99808819048259364125,1.00881038154093811797,1.00547450796666710046,1.00323695485505274013,921867,922733,929989,922092,923133,927140,922163,920400,925148
random,100,10,9591,0.33998300000000000000,0.33998300000000000000,0.33998300000000000000,0.33998300000000000000,0.19563300000000000000,0.47590000000000000000,1000000,339983,339983,1000000,339983,195633,1000000,339983,475900
random,100,10,10275,0.88534223049011609266,0.88469908259208973594,0.88336381993110820763,0.88534223049011609266,0.96208237637833242396,0.96815773844874688205,630014,557778,557778,630472,557778,606566,631425,557778,611319
random,100,10,10397,0.34530300000000000000,0.34478900000000000000,0.34528700000000000000,0.34422300000000000000,0.34480500000000000000,0.34487100000000000000,1000000,345303,344223,1000000,344789,344805,1000000,345287,344871
